               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070184,            0.036827,            0.029313,              0.5473,             0.46685,             0.42379,             0.23228,            0.049073,            0.021687,              0.0209,            0.070077,           0.0033248,           0.0033248
                   1,            0.051346,            0.032213,            0.014404,             0.77644,             0.55847,             0.67254,             0.40985,            0.042693,            0.020293,            0.012156,            0.040033,           0.0066142,           0.0066142
                   2,            0.048691,            0.030612,            0.011298,             0.78143,             0.53281,             0.64154,             0.37067,            0.044583,            0.021112,            0.012789,           0.0099452,           0.0098595,           0.0098595
                   3,            0.045873,            0.031209,            0.010885,             0.75607,             0.55694,             0.66674,             0.42697,            0.039306,            0.020742,            0.013425,            0.009802,            0.009802,            0.009802
                   4,            0.043648,            0.030438,           0.0092798,             0.78355,             0.58397,             0.69349,             0.43866,            0.038847,            0.019796,            0.010434,            0.009802,            0.009802,            0.009802
                   5,            0.042764,            0.029822,           0.0085764,             0.81424,             0.60907,              0.7216,             0.46372,            0.038228,            0.019291,           0.0074277,            0.009736,            0.009736,            0.009736
                   6,            0.041155,            0.028666,           0.0077273,             0.78664,             0.59322,               0.711,             0.45553,            0.037518,            0.019716,            0.011028,             0.00967,             0.00967,             0.00967
                   7,            0.040841,            0.028497,           0.0073218,              0.7935,             0.65654,             0.75464,             0.49219,            0.036659,            0.018494,           0.0065861,            0.009604,            0.009604,            0.009604
                   8,            0.040494,              0.0282,           0.0068213,              0.7946,             0.63409,             0.75157,             0.49578,            0.037084,            0.018909,           0.0065057,            0.009538,            0.009538,            0.009538
                   9,            0.039858,            0.027458,           0.0064745,             0.77136,             0.63334,             0.74565,             0.48558,            0.036786,            0.018403,           0.0075634,            0.009472,            0.009472,            0.009472
                  10,            0.039388,            0.027016,           0.0062524,             0.78443,             0.67284,             0.75926,             0.49671,            0.036614,            0.018708,           0.0077408,            0.009406,            0.009406,            0.009406
                  11,            0.039217,            0.027127,           0.0060068,             0.76978,             0.66905,             0.75362,             0.49452,            0.035791,            0.018791,            0.006691,             0.00934,             0.00934,             0.00934
                  12,            0.039115,            0.027233,           0.0058388,             0.79412,             0.66455,             0.76615,             0.50342,            0.035996,            0.017943,           0.0069719,            0.009274,            0.009274,            0.009274
                  13,            0.039207,            0.027076,           0.0057039,             0.79233,             0.70019,             0.77332,             0.51293,            0.035836,            0.018016,           0.0058165,            0.009208,            0.009208,            0.009208
                  14,            0.038891,             0.02649,           0.0053402,             0.81132,             0.67839,             0.76904,             0.50797,            0.035744,            0.018049,             0.00555,            0.009142,            0.009142,            0.009142
                  15,            0.038699,            0.026516,           0.0056266,             0.82162,             0.68317,             0.77454,             0.51718,             0.03511,            0.018013,           0.0055826,            0.009076,            0.009076,            0.009076
                  16,            0.038318,            0.026295,           0.0052495,             0.81749,             0.67123,             0.78168,             0.52757,            0.034866,            0.017808,           0.0062344,             0.00901,             0.00901,             0.00901
                  17,            0.038242,            0.026043,            0.004896,             0.77562,             0.68253,             0.76335,             0.51207,            0.034904,            0.017984,           0.0056237,            0.008944,            0.008944,            0.008944
                  18,            0.038096,            0.026197,           0.0049669,             0.79761,             0.70604,             0.79139,             0.53275,            0.034541,            0.017667,            0.005451,            0.008878,            0.008878,            0.008878
                  19,            0.037716,            0.025777,           0.0049573,             0.80054,             0.70959,             0.78031,             0.52823,            0.034634,            0.018381,           0.0055358,            0.008812,            0.008812,            0.008812
                  20,            0.037835,            0.025795,            0.004901,             0.77892,             0.70792,             0.78416,             0.53065,            0.034682,            0.017715,           0.0061081,            0.008746,            0.008746,            0.008746
                  21,            0.037893,            0.025766,           0.0046783,             0.79934,             0.68412,             0.77814,             0.52176,            0.034893,            0.017681,           0.0056592,             0.00868,             0.00868,             0.00868
                  22,            0.037673,            0.025501,           0.0047835,             0.82729,             0.69422,             0.78637,             0.53082,             0.03478,            0.017675,           0.0055131,            0.008614,            0.008614,            0.008614
                  23,            0.037601,            0.025641,           0.0047518,             0.79426,              0.6993,             0.77876,             0.52432,             0.03444,            0.017609,            0.006045,            0.008548,            0.008548,            0.008548
                  24,            0.037594,            0.025525,           0.0048274,             0.81927,             0.70055,             0.78671,             0.53715,            0.034957,             0.01788,           0.0053705,            0.008482,            0.008482,            0.008482
                  25,            0.037647,            0.025361,           0.0044589,             0.79123,             0.68366,             0.77512,             0.53148,            0.034044,            0.017688,           0.0059802,            0.008416,            0.008416,            0.008416
                  26,            0.037056,            0.025258,           0.0043477,              0.8012,             0.70831,             0.79069,             0.53921,             0.03425,            0.017381,           0.0053727,             0.00835,             0.00835,             0.00835
                  27,            0.036726,            0.024972,           0.0040758,             0.81251,             0.70379,             0.79184,             0.53791,             0.03413,            0.017666,            0.005073,            0.008284,            0.008284,            0.008284
                  28,            0.036822,            0.025405,           0.0040625,             0.79612,             0.71677,             0.78383,             0.53594,            0.033894,            0.017424,           0.0057148,            0.008218,            0.008218,            0.008218
                  29,            0.037011,            0.024809,           0.0042625,             0.81584,             0.70429,             0.79165,             0.54168,            0.034056,             0.01769,           0.0052954,            0.008152,            0.008152,            0.008152
                  30,            0.036417,            0.024923,           0.0041119,             0.79511,              0.7148,              0.7897,             0.53897,             0.03366,            0.017612,           0.0055789,            0.008086,            0.008086,            0.008086
                  31,            0.036491,            0.024639,           0.0040594,              0.8044,             0.70821,             0.78821,             0.54168,            0.033787,            0.017709,            0.004953,             0.00802,             0.00802,             0.00802
                  32,            0.036232,            0.024275,           0.0040383,             0.79767,              0.7167,             0.79084,             0.54387,            0.033465,            0.017425,           0.0053897,            0.007954,            0.007954,            0.007954
                  33,            0.036478,            0.024281,            0.003943,             0.78574,             0.73084,             0.79527,             0.54894,            0.033378,            0.017406,           0.0048774,            0.007888,            0.007888,            0.007888
                  34,              0.0362,             0.02465,           0.0038818,             0.80092,             0.72088,             0.79253,             0.54442,            0.033499,            0.017234,           0.0055422,            0.007822,            0.007822,            0.007822
                  35,            0.035855,            0.024359,           0.0039057,             0.80504,             0.72494,             0.79616,             0.55014,            0.033328,            0.017106,           0.0053248,            0.007756,            0.007756,            0.007756
                  36,            0.035934,              0.0244,           0.0036556,             0.81221,             0.70855,             0.79076,             0.54786,            0.033363,            0.017386,           0.0057082,             0.00769,             0.00769,             0.00769
                  37,            0.035397,             0.02346,           0.0037727,             0.79898,             0.73539,             0.79783,             0.55167,            0.033108,            0.017423,           0.0054216,            0.007624,            0.007624,            0.007624
                  38,            0.035745,            0.024384,           0.0037745,             0.81026,             0.70513,             0.79188,             0.55002,            0.033185,            0.017355,           0.0056531,            0.007558,            0.007558,            0.007558
                  39,            0.035392,            0.023812,           0.0035486,             0.80419,             0.71548,             0.79283,             0.55061,             0.03315,            0.017121,            0.005609,            0.007492,            0.007492,            0.007492
                  40,            0.034898,            0.023345,           0.0036085,             0.80846,             0.72433,             0.79179,             0.55099,            0.033087,            0.017603,           0.0058302,            0.007426,            0.007426,            0.007426
                  41,            0.035151,            0.023232,            0.003726,             0.80391,              0.7282,             0.79281,             0.55069,            0.032984,            0.017341,           0.0057292,             0.00736,             0.00736,             0.00736
                  42,            0.035264,            0.024038,           0.0037915,             0.78968,             0.73004,             0.79053,             0.54928,            0.033056,            0.017362,            0.005569,            0.007294,            0.007294,            0.007294
                  43,             0.03506,            0.023712,           0.0035928,             0.78795,             0.72648,             0.79305,             0.55329,            0.033035,            0.017268,           0.0059717,            0.007228,            0.007228,            0.007228
                  44,             0.03528,            0.023767,           0.0036202,             0.82594,             0.69695,             0.79357,              0.5522,            0.032994,            0.017332,           0.0056642,            0.007162,            0.007162,            0.007162
                  45,            0.035011,            0.023536,           0.0035289,             0.79512,             0.71922,             0.79659,              0.5551,            0.033113,            0.017329,           0.0053907,            0.007096,            0.007096,            0.007096
                  46,            0.034732,             0.02353,           0.0033945,             0.81659,             0.70486,             0.79201,             0.55142,            0.032803,            0.017405,           0.0061027,             0.00703,             0.00703,             0.00703
                  47,            0.034855,            0.023325,           0.0034747,             0.80545,             0.72627,             0.79043,             0.55065,             0.03284,            0.017604,           0.0056045,            0.006964,            0.006964,            0.006964
                  48,            0.034562,             0.02308,           0.0033963,             0.80383,             0.72513,             0.79457,             0.55457,            0.032739,            0.017671,           0.0055758,            0.006898,            0.006898,            0.006898
                  49,            0.034753,            0.023168,           0.0034262,             0.81803,             0.72018,             0.79362,             0.55138,            0.032739,             0.01746,           0.0058699,            0.006832,            0.006832,            0.006832
                  50,            0.034534,            0.023295,            0.003308,             0.81856,             0.71919,             0.79516,             0.55437,            0.032671,            0.017529,           0.0056566,            0.006766,            0.006766,            0.006766
                  51,            0.034478,            0.023419,           0.0033435,             0.81445,             0.72101,             0.79638,             0.55734,            0.032569,            0.017678,           0.0056207,              0.0067,              0.0067,              0.0067
                  52,            0.034171,             0.02285,           0.0032366,             0.81792,              0.7235,             0.79455,              0.5579,            0.032726,            0.017728,           0.0056424,            0.006634,            0.006634,            0.006634
                  53,            0.034427,            0.023126,           0.0032103,             0.80346,              0.7301,             0.79079,             0.55501,             0.03291,            0.018003,           0.0057552,            0.006568,            0.006568,            0.006568
                  54,            0.033839,            0.022644,           0.0031188,             0.82504,             0.72224,             0.79045,             0.55392,            0.032824,            0.017888,           0.0057203,            0.006502,            0.006502,            0.006502
                  55,            0.033995,            0.022927,           0.0031752,              0.8079,             0.73418,             0.79079,              0.5549,            0.032846,            0.017669,           0.0057715,            0.006436,            0.006436,            0.006436
                  56,             0.03424,            0.023162,           0.0032322,             0.80612,             0.74168,             0.79258,             0.55613,            0.032789,            0.017599,           0.0057606,             0.00637,             0.00637,             0.00637
                  57,            0.034323,            0.023029,           0.0031545,             0.81841,              0.7282,             0.79304,             0.55657,            0.032759,            0.017778,           0.0056382,            0.006304,            0.006304,            0.006304
                  58,            0.033678,             0.02229,           0.0030584,             0.81204,             0.73009,             0.79076,             0.55674,            0.032795,            0.017985,           0.0054619,            0.006238,            0.006238,            0.006238
                  59,            0.033568,            0.022655,           0.0030141,              0.8062,              0.7352,             0.79297,             0.55745,            0.032677,             0.01788,           0.0054538,            0.006172,            0.006172,            0.006172
                  60,             0.03366,            0.022655,           0.0028712,             0.79329,             0.74134,             0.79001,             0.55715,            0.032668,            0.017829,           0.0056213,            0.006106,            0.006106,            0.006106
                  61,            0.033588,            0.022599,           0.0029408,             0.79936,             0.73981,             0.79134,             0.55891,            0.032623,             0.01777,           0.0056005,             0.00604,             0.00604,             0.00604
                  62,             0.03348,            0.022348,           0.0029882,             0.80481,              0.7367,             0.79078,             0.55831,            0.032607,             0.01789,           0.0055892,            0.005974,            0.005974,            0.005974
                  63,            0.033544,            0.022593,           0.0030038,             0.80034,             0.73987,             0.78914,             0.55773,            0.032519,            0.017896,           0.0056834,            0.005908,            0.005908,            0.005908
                  64,            0.033496,            0.022473,           0.0028005,             0.81273,              0.7358,             0.79127,             0.55854,            0.032453,            0.017908,           0.0055866,            0.005842,            0.005842,            0.005842
                  65,            0.033554,            0.022816,           0.0027213,             0.81186,              0.7362,              0.7912,             0.55787,            0.032553,            0.017988,           0.0056403,            0.005776,            0.005776,            0.005776
                  66,            0.033313,              0.0223,           0.0028892,             0.81209,             0.73574,             0.79019,             0.55728,            0.032613,            0.018083,           0.0057159,             0.00571,             0.00571,             0.00571
                  67,            0.032907,            0.022134,           0.0027043,             0.82202,             0.72441,             0.78744,             0.55539,            0.032699,            0.018183,           0.0058215,            0.005644,            0.005644,            0.005644
                  68,            0.032904,            0.021786,           0.0026271,             0.82001,             0.72369,             0.78683,              0.5554,            0.032697,            0.018271,           0.0057789,            0.005578,            0.005578,            0.005578
                  69,            0.032631,              0.0218,           0.0027453,             0.81197,             0.73142,             0.78664,             0.55536,            0.032692,            0.018239,           0.0057058,            0.005512,            0.005512,            0.005512
                  70,            0.032766,            0.022273,           0.0027086,             0.81075,              0.7332,             0.78715,             0.55574,              0.0327,            0.018188,            0.005702,            0.005446,            0.005446,            0.005446
                  71,            0.032966,            0.022098,           0.0027683,             0.81546,             0.73222,             0.78735,             0.55586,            0.032695,            0.018141,           0.0057251,             0.00538,             0.00538,             0.00538
